指标名称,M2,美国:M2,欧元区:M2,日本:货币供应量:平均余额:M2
2022-05,"2,527,026.15",,,"1,204.86"
2022-04,"2,499,710.90","21,932.30","14,965,254.00","1,201.84"
2022-03,"2,497,688.34","21,925.70","14,886,291.00","1,183.32"
2022-02,"2,441,488.90","21,632.50","14,773,290.00","1,178.93"
2022-01,"2,431,022.72","21,646.40","14,701,758.00","1,181.35"
2021-12,"2,382,899.56","21,653.50","14,721,771.00","1,178.24"
2021-11,"2,356,012.76","21,328.50","14,607,470.00","1,175.70"
2021-10,"2,336,160.48","21,096.00","14,527,468.00","1,170.60"
2021-09,"2,342,829.70","20,956.90","14,444,815.00","1,169.18"
2021-08,"2,312,267.68","20,777.00","14,380,501.00","1,168.87"
2021-07,"2,302,153.82","20,571.00","14,345,438.00","1,169.03"
2021-06,"2,317,788.36","20,439.40","14,231,690.00","1,169.12"
2021-05,"2,275,538.07","20,318.50","14,134,516.00","1,167.57"
2021-04,"2,262,107.12","20,269.80","14,021,790.00","1,161.81"
2021-03,"2,276,488.45","19,946.10","13,964,439.00","1,143.67"
2021-02,"2,236,030.26","19,524.00","13,851,202.00","1,138.51"
2021-01,"2,213,047.33","19,372.00","13,784,908.00","1,140.05"
2020-12,"2,186,795.89","19,247.90","13,750,587.00","1,136.00"
2020-11,"2,172,002.55","18,980.60","13,629,658.00","1,130.63"
2020-10,"2,149,720.42","18,689.10","13,516,390.00","1,123.29"
2020-09,"2,164,084.80","18,543.10","13,427,966.00","1,121.99"
2020-08,"2,136,836.91","18,319.20","13,340,622.00","1,116.84"
2020-07,"2,125,458.46","18,252.80","13,308,092.00","1,110.31"
2020-06,"2,134,948.66","18,103.70","13,242,831.00","1,103.68"
2020-05,"2,100,183.74","17,766.90","13,166,170.00","1,081.30"
2020-04,"2,093,533.83","17,102.40","12,941,153.00","1,063.03"
2020-03,"2,080,923.41","16,056.10","12,762,048.00","1,044.32"
2020-02,"2,030,830.42","15,383.10","12,441,809.00","1,038.51"
2020-01,"2,023,066.49","15,397.10","12,357,486.00","1,041.64"
2019-12,"1,986,488.82","15,412.50","12,395,713.00","1,040.45"
2019-11,"1,961,429.56","15,259.40","12,401,278.00","1,036.56"
2019-10,"1,945,600.55","15,112.20","12,293,221.00","1,030.44"
2019-09,"1,952,250.49","14,986.80","12,251,174.00","1,029.59"
2019-08,"1,935,492.43","14,896.10","12,264,151.00","1,028.44"
2019-07,"1,919,410.82","14,814.40","12,150,130.00","1,029.05"
2019-06,"1,921,360.19","14,734.80","12,114,505.00","1,028.97"
2019-05,"1,891,153.70","14,575.00","12,032,321.00","1,028.64"
2019-04,"1,884,670.33","14,623.00","11,942,407.00","1,025.22"
2019-03,"1,889,412.14","14,572.50","11,886,634.00","1,012.51"
2019-02,"1,867,427.45","14,401.90","11,741,077.00","1,009.77"
2019-01,"1,865,935.33","14,423.80","11,693,135.00","1,014.80"
2018-12,"1,826,744.22","14,448.80","11,714,685.00","1,014.24"
2018-11,"1,813,175.07","14,255.10","11,668,227.00","1,010.50"
2018-10,"1,795,561.60","14,201.40","11,581,372.00","1,007.44"
2018-09,"1,801,665.58","14,199.50","11,566,435.00","1,006.59"
2018-08,"1,788,670.43","14,164.90","11,519,249.00","1,005.66"
2018-07,"1,776,196.11","14,109.60","11,518,479.00","1,006.80"
2018-06,"1,770,178.37","14,074.70","11,529,059.00","1,006.63"
2018-05,"1,743,063.79","13,980.40","11,419,500.00","1,003.15"
2018-04,"1,737,683.73","14,069.50","11,316,668.00","1,001.09"
2018-03,"1,739,859.48","14,031.00","11,282,736.00",989.09
2018-02,"1,729,070.12","13,849.10","11,217,608.00",986.58
2018-01,"1,720,814.46","13,863.10","11,220,397.00",991.70
2017-12,"1,690,235.32","13,945.00","11,233,795.00",990.57
2017-11,"1,679,156.64","13,819.90","11,175,531.00",987.48
2017-10,"1,662,449.96","13,750.70","11,114,353.00",981.31
2017-09,"1,663,666.05","13,705.50","11,098,268.00",978.82
2017-08,"1,652,947.30","13,653.70","11,073,583.00",977.62
2017-07,"1,636,341.11","13,584.40","11,032,488.00",978.15
2017-06,"1,639,497.05","13,522.10","11,007,628.00",976.36
2017-05,"1,609,740.77","13,474.10","10,939,554.00",972.37
2017-04,"1,603,918.84","13,565.00","10,927,124.00",970.29
2017-03,"1,607,938.98","13,491.70","10,860,502.00",959.76
2017-02,"1,589,857.00","13,305.60","10,769,896.00",956.13
2017-01,"1,584,194.56","13,281.60","10,734,715.00",959.05
2016-12,"1,550,066.67","13,299.90","10,735,858.00",956.34
2016-11,"1,530,432.06","13,191.80","10,660,028.00",949.45
2016-10,"1,519,485.40","13,079.40","10,568,292.00",942.94
2016-09,"1,516,360.50","13,016.20","10,551,919.00",940.74
2016-08,"1,510,982.91","12,946.70","10,533,407.00",939.99
2016-07,"1,491,558.72","12,850.10","10,542,969.00",940.50
2016-06,"1,490,491.83","12,789.00","10,473,181.00",939.46
2016-05,"1,461,695.11","12,708.40","10,440,837.00",936.83
2016-04,"1,445,209.59","12,778.60","10,399,147.00",933.75
2016-03,"1,446,198.03","12,684.80","10,322,666.00",921.44
2016-02,"1,424,618.68","12,517.10","10,278,374.00",918.34
2016-01,"1,416,319.55","12,478.40","10,264,181.00",922.66
2015-12,"1,392,278.11","12,427.30","10,228,432.00",920.65
2015-11,"1,373,956.01","12,297.90","10,180,680.00",914.59
2015-10,"1,361,020.70","12,171.50","10,114,071.00",910.58
2015-09,"1,359,824.06","12,138.20","10,040,557.00",909.69
2015-08,"1,356,907.98","12,070.40","10,032,566.00",911.21
2015-07,"1,353,210.92","12,012.90","10,027,935.00",910.24
2015-06,"1,333,375.36","11,962.50","9,973,898.00",909.01
2015-05,"1,307,357.63","11,907.90","9,940,369.00",907.00
2015-04,"1,280,779.14","12,004.70","9,869,933.00",904.07
2015-03,"1,275,332.78","11,956.70","9,801,248.00",894.31
2015-02,"1,257,384.48","11,847.10","9,737,235.00",890.86
2015-01,"1,242,709.56","11,759.00","9,738,730.00",894.66
2014-12,"1,228,374.81","11,760.00","9,695,399.00",893.14
2014-11,"1,208,605.95","11,615.00","9,567,457.00",885.40
2014-10,"1,199,236.31","11,538.60","9,476,256.00",878.80
2014-09,"1,202,051.41","11,470.60","9,466,964.00",876.72
2014-08,"1,197,499.08","11,422.70","9,443,647.00",875.16
2014-07,"1,194,249.24","11,391.80","9,400,331.00",875.71
2014-06,"1,209,587.20","11,336.80","9,384,212.00",875.35
2014-05,"1,182,293.96","11,274.80","9,360,278.00",871.61
2014-04,"1,168,812.67","11,331.60","9,297,491.00",872.83
2014-03,"1,160,687.38","11,278.40","9,270,958.00",863.44
2014-02,"1,131,760.83","11,153.40","9,232,803.00",861.11
2014-01,"1,123,521.21","11,101.60","9,221,350.00",865.89
2013-12,"1,106,524.98","11,104.30","9,246,611.00",862.77
2013-11,"1,079,257.06","10,974.30","9,233,295.00",855.02
2013-10,"1,070,242.17","10,930.00","9,198,418.00",852.09
2013-09,"1,077,379.16","10,802.90","9,178,509.00",850.79
2013-08,"1,061,256.43","10,735.10","9,182,537.00",849.89
2013-07,"1,052,212.34","10,679.70","9,152,050.00",850.54
2013-06,"1,054,403.69","10,640.60","9,161,985.00",849.64
2013-05,"1,042,169.16","10,576.00","9,137,227.00",844.03
2013-04,"1,032,551.90","10,653.10","9,125,702.00",843.73
2013-03,"1,035,858.37","10,624.10","9,079,303.00",833.87
2013-02,"998,600.83","10,477.10","9,016,092.00",828.28
2013-01,"992,129.25","10,503.80","9,000,857.00",829.96
2012-12,"974,148.80","10,528.60","9,044,640.00",827.69
2012-11,"944,832.35","10,340.40","8,955,966.00",819.39
2012-10,"936,404.28","10,243.30","8,928,498.00",818.38
2012-09,"943,688.75","10,162.70","8,866,346.00",819.27
2012-08,"924,894.59","10,066.50","8,826,211.00",819.13
2012-07,"919,072.40","10,003.50","8,833,838.00",819.98
2012-06,"924,991.20","9,958.40","8,810,356.00",818.54
2012-05,"900,048.77","9,880.60","8,752,513.00",815.71
2012-04,"889,604.04","9,946.50","8,721,254.00",817.86
2012-03,"895,565.50","9,900.70","8,718,043.00",809.27
2012-02,"867,171.42","9,784.40","8,648,412.00",804.77
2012-01,"855,898.89","9,759.40","8,640,111.00",808.27
2011-12,"851,590.90","9,726.70","8,670,607.00",806.92
2011-11,"825,493.94","9,630.60","8,565,195.00",802.44
2011-10,"816,829.25","9,547.60","8,555,870.00",800.28
2011-09,"787,406.20","9,497.80","8,568,032.00",800.01
2011-08,"780,852.30","9,459.30","8,530,700.00",799.72
2011-07,"772,923.65","9,263.90","8,522,262.00",801.72
2011-06,"780,820.85","9,111.40","8,517,984.00",800.52
2011-05,"763,409.22","9,022.90","8,488,119.00",798.32
2011-04,"757,384.56","9,052.80","8,482,015.00",797.08
2011-03,"758,130.88","8,997.70","8,441,080.00",786.08
2011-02,"736,130.86","8,884.40","8,415,890.00",781.83
2011-01,"733,884.83","8,847.30","8,435,755.00",784.40
2010-12,"725,851.79","8,855.20","8,472,295.00",782.29
2010-11,"710,339.03","8,773.10","8,388,301.00",778.90
2010-10,"699,776.74","8,707.90","8,378,476.00",778.47
2010-09,"696,471.50","8,647.10","8,344,373.00",778.86
2010-08,"687,506.92","8,605.30","8,342,474.00",778.97
2010-07,"674,051.48","8,574.50","8,337,673.00",778.81
2010-06,"673,921.72","8,604.10","8,333,155.00",778.43
2010-05,"663,351.37","8,581.90","8,301,215.00",777.36
2010-04,"656,561.22","8,599.50","8,268,952.00",775.97
2010-03,"649,947.46","8,574.30","8,209,452.00",766.22
2010-02,"636,072.26","8,506.10","8,210,916.00",763.57
2010-01,"625,609.29","8,461.60","8,234,925.00",766.86
2009-12,"610,224.52","8,540.80","8,275,091.00",764.44
2009-11,"594,604.72","8,498.60","8,169,984.00",759.29
2009-10,"586,643.29","8,423.40","8,178,414.00",757.45
2009-09,"585,405.34","8,391.90","8,153,645.00",757.76
2009-08,"576,698.95","8,383.50","8,152,962.00",757.91
2009-07,"573,102.85","8,404.50","8,170,120.00",758.17
2009-06,"568,916.20","8,438.10","8,186,153.00",756.47
2009-05,"548,263.51","8,425.50","8,157,432.00",753.95
2009-04,"540,481.21","8,438.40","8,164,981.00",754.22
2009-03,"530,626.71","8,438.30","8,094,023.00",746.28
2009-02,"506,708.07","8,302.50","8,093,799.00",743.23
2009-01,"496,135.31","8,273.90","8,101,892.00",744.74
2008-12,"475,166.60","8,229.00","8,103,057.00",741.73
2008-11,"458,644.66","8,010.30","8,018,985.00",735.00
2008-10,"453,133.32","7,919.90","7,972,122.00",732.53
2008-09,"452,898.71","7,812.60","7,839,899.00",735.86
2008-08,"448,846.68","7,739.50","7,759,476.00",737.17
2008-07,"446,362.17","7,741.70","7,750,324.00",738.14
2008-06,"443,141.02","7,728.60","7,734,627.00",737.83
2008-05,"436,221.60","7,706.20","7,688,720.00",734.30
2008-04,"429,313.72","7,764.40","7,625,571.00",734.59
2008-03,"423,054.53","7,716.20","7,544,871.00",729.95
2008-02,"421,037.84","7,582.20","7,471,675.00",727.66
2008-01,"417,846.17","7,500.10","7,449,456.00",730.45
2007-12,"403,401.30","7,502.00","7,436,874.00",728.56
2007-11,"399,757.91","7,434.60","7,288,789.00",722.07
2007-10,"394,204.17","7,376.20","7,229,789.00",719.34
2007-09,"393,098.91","7,365.50","7,140,136.00",720.19
2007-08,"387,205.04","7,344.90","7,044,759.00",719.82
2007-07,"383,884.88","7,285.60","7,063,718.00",722.88
2007-06,"377,832.15","7,282.80","7,023,577.00",721.64
2007-05,"369,718.15","7,238.80","6,928,873.00",719.52
2007-04,"367,326.45","7,294.50","6,875,258.00",721.10
2007-03,"364,104.66","7,205.30","6,830,309.00",713.84
2007-02,"358,659.25","7,107.50","6,707,664.00",710.89
2007-01,"351,498.77","7,095.90","6,704,079.00",715.14
2006-12,"345,577.91","7,098.00","6,743,791.00",713.79
2006-11,"337,504.15","7,023.00","6,535,927.00",707.83
2006-10,"332,747.17","6,960.80","6,472,185.00",705.98
2006-09,"331,865.36","6,918.00","6,461,105.00",708.19
2006-08,"327,885.67","6,890.60","6,360,016.00",707.31
2006-07,"324,010.76","6,872.00","6,382,249.00",708.52
2006-06,"322,756.35","6,850.50","6,386,776.00",708.59
2006-05,"316,709.81","6,796.80","6,321,177.00",709.32
2006-04,"313,702.34","6,858.40","6,316,677.00",712.91
2006-03,"310,490.65","6,794.90","6,212,517.00",706.12
2006-02,"304,516.27","6,722.40","6,157,331.00",703.80
2006-01,"303,571.65","6,705.30","6,134,008.00",708.78
2005-12,"298,755.48","6,707.20","6,168,737.00",708.99
2005-11,"292,350.39","6,654.10","6,002,366.00",703.60
2005-10,"287,591.61","6,613.40","5,976,941.00",702.17
2005-09,"287,438.27","6,586.20","5,939,643.00",704.62
2005-08,"281,288.22","6,553.50","5,859,423.00",704.37
2005-07,"276,966.28","6,529.30","5,896,526.00",705.06
2005-06,"275,785.53","6,510.40","5,858,475.00",700.68
2005-05,"269,240.49","6,458.50","5,778,327.00",700.32
2005-04,"266,992.66","6,507.20","5,738,282.00",701.54
2005-03,"264,588.94","6,463.70","5,680,387.00",696.51
2005-02,"259,357.29","6,404.60","5,643,364.00",692.05
2005-01,"257,708.47","6,403.00","5,637,298.00",696.57
2004-12,"253,207.70","6,446.30","5,632,265.00",696.06
2004-11,"247,135.58","6,404.00","5,528,865.00",689.48
2004-10,"243,740.32","6,354.50","5,490,285.00",689.05
2004-09,"243,756.88","6,332.70","5,451,083.00",690.73
2004-08,"239,729.19","6,299.50","5,397,916.00",693.37
2004-07,"238,126.97","6,277.90","5,428,440.00",693.79
2004-06,"238,427.49","6,271.70","5,408,012.00",689.48
2004-05,"234,842.40","6,248.50","5,377,365.00",690.38
2004-04,"233,627.86","6,234.80","5,344,467.00",689.19
2004-03,"231,654.60","6,167.40","5,310,219.00",682.59
2004-02,"227,050.72","6,087.90","5,273,548.00",679.78
2004-01,"225,101.93","6,057.80","5,271,712.00",683.31
2003-12,"221,222.82","6,097.30","5,297,999.00",682.58
2003-11,"216,351.73","6,075.70","5,206,044.00",675.73
2003-10,"214,469.36","6,047.20","5,157,878.00",675.57
2003-09,"213,567.13","6,062.60","5,136,978.00",676.85
2003-08,"210,591.90","6,090.60","5,125,966.00",680.73
2003-07,"206,193.07","6,034.00","5,124,234.00",681.31
2003-06,"204,907.42","5,991.10","5,130,101.00",677.76
2003-05,"199,505.19","5,937.00","5,109,432.00",677.09
2003-04,"196,130.13","5,937.40","5,052,347.00",676.71
2003-03,"194,487.30","5,881.00","5,006,352.00",
2003-02,"190,108.41","5,819.70","4,951,523.00",
2003-01,"190,545.05","5,792.40","4,923,614.00",
2002-12,"185,006.97","5,803.00","4,981,449.00",
2002-11,"179,736.26","5,756.60","4,875,496.00",
2002-10,"177,294.15","5,684.50","4,811,015.00",
2002-09,"176,985.21","5,645.60","4,792,133.00",
2002-08,"173,250.92","5,620.70","4,750,263.00",
2002-07,"170,851.14","5,577.70","4,758,307.00",
2002-06,"169,601.24","5,536.90","4,768,158.00",
2002-05,"166,023.00","5,499.00","4,728,195.00",
2002-04,"164,570.56","5,532.50","4,706,318.00",
2002-03,"164,064.57","5,518.10","4,670,235.00",
2002-02,"160,935.59","5,469.30","4,644,451.00",
2002-01,"159,639.27","5,449.90","4,655,663.00",
2001-12,"158,301.92","5,463.80","4,684,363.00",
2001-11,"154,088.33","5,383.60","4,565,041.00",
2001-10,"151,497.25","5,320.70","4,512,933.00",
2001-09,"151,642.64","5,335.60","4,508,739.00",
2001-08,"149,941.76","5,224.10","4,461,073.00",
2001-07,"149,228.73","5,188.20","4,479,923.00",
2001-06,"147,809.67","5,159.60","4,492,195.00",
2001-05,"139,015.84","5,110.40","4,445,379.00",
2001-04,"139,949.85","5,173.50","4,422,968.00",
2001-03,"138,744.46","5,097.50","4,385,080.00",
2001-02,"136,210.17","5,007.30","4,355,581.00",
2001-01,"137,543.63","4,978.50","4,348,576.00",
2000-12,"134,610.26","4,952.60","4,299,630.00",
2000-11,"130,994.07","4,881.70","4,210,799.00",
2000-10,"129,522.44","4,853.90","4,187,284.00",
2000-09,"130,473.84","4,840.00","4,182,500.00",
2000-08,"127,790.30","4,804.40","4,176,869.00",
