指标名称,美国:标普500 3个月波动率指数:月:平均值
2007-12,23.03684211
2008-01,25.04857143
2008-02,25.3945
2008-03,26.888
2008-04,22.48863636
2008-05,20.61761905
2008-06,23.12952381
2008-07,23.84454545
2008-08,22.05380952
2008-09,27.50333333
2008-10,47.27826087
2008-11,57.23578947
2008-12,52.18636364
2009-01,46.334
2009-02,44.67947368
2009-03,43.67363636
2009-04,38.97142857
2009-05,32.74
2009-06,30.925
2009-07,29.08
2009-08,28.02904762
2009-09,27.21047619
2009-10,25.67863636
2009-11,25.628
2009-12,24.255
2010-01,22.75631579
2010-02,23.73789474
2010-03,20.28695652
2010-04,19.87666667
2010-05,31.2025
2010-06,31.22681818
2010-07,28.94904762
2010-08,28.33136364
2010-09,25.56809524
2010-10,23.49714286
2010-11,22.27428571
2010-12,20.76727273
2011-01,19.7095
2011-02,19.15368421
2011-03,21.86478261
2011-04,19.122
2011-05,18.93333333
2011-06,20.40318182
2011-07,20.264
2011-08,32.15695652
2011-09,35.97714286
2011-10,33.58285714
2011-11,33.31952381
2011-12,28.5
2012-01,23.461
2012-02,21.736
2012-03,20.255
2012-04,20.4385
2012-05,23.205
2012-06,23.89904762
2012-07,20.12761905
2012-08,19.23043478
2012-09,17.66210526
2012-10,17.87904762
2012-11,18.38857143
2012-12,18.2585
2013-01,15.7552381
2013-02,15.29789474
2013-03,14.957
2013-04,15.24545455
2013-05,15.32727273
2013-06,18.3055
2013-07,15.78318182
2013-08,15.79681818
2013-09,16.074
2013-10,16.39565217
2013-11,14.794
2013-12,15.23761905
2014-01,15.37380952
2014-02,16.45368421
2014-03,16.13904762
2014-04,15.16333333
2014-05,14.22857143
2014-06,13.29666667
2014-07,13.51954545
2014-08,14.94428571
2014-09,15.13190476
2014-10,18.61043478
2014-11,15.89473684
2014-12,18.20363636
2015-01,20.229
2015-02,18.61894737
2015-03,17.21727273
2015-04,16.00333333
2015-05,15.6015
2015-06,15.94909091
2015-07,16.10681818
2015-08,19.36190476
2015-09,24.69285714
2015-10,19.50272727
2015-11,18.7555
2015-12,20.16318182
2016-01,24.32315789
2016-02,23.833
2016-03,18.90636364
2016-04,17.40904762
2016-05,17.84238095
2016-06,19.43
2016-07,16.366
2016-08,15.64608696
2016-09,16.99
2016-10,16.64095238
2016-11,16.89666667
2016-12,15.7052381
2017-01,14.505
2017-02,14.20578947
2017-03,14.26956522
2017-04,14.11
2017-05,13.03090909
2017-06,12.76318182
2017-07,12.631
2017-08,14.04217391
2017-09,13.309
2017-10,12.33409091
2017-11,13.05333333
2017-12,12.713
2018-01,13.15285714
2018-02,20.76
2018-03,19.58380952
2018-04,18.87761905
2018-05,15.69363636
2018-06,15.42380952
2018-07,15.16809524
2018-08,15.0026087
2018-09,15.21210526
2018-10,19.20521739
2018-11,19.95619048
2018-12,23.32105263
2019-01,20.19714286
2019-02,16.66368421
2019-03,16.10619048
2019-04,15.0847619
2019-05,17.44409091
2019-06,16.871
2019-07,15.25181818
2019-08,19.41409091
2019-09,17.7525
2019-10,17.46434783
2019-11,15.4625
2019-12,16.09428571
2020-01,15.68571429
2020-02,18.80105263
2020-03,49.75227273
2020-04,40.34
2020-05,33.226
2020-06,33.18727273
2020-07,30.80636364
2020-08,28.62047619
2020-09,32.2052381
2020-10,30.96818182
2020-11,26.9655
2020-12,25.42909091
2021-01,27.55263158
2021-02,27.81157895
2021-03,25.34173913
2021-04,21.21227273
2021-05,22.916
2021-06,20.48909091
2021-07,21.51619048
2021-08,21.48636364
2021-09,22.42666667
2021-10,21.19428571
2021-11,22.05380952
2021-12,24.85913043
2022-01,25.733
2022-02,27.40473684
2022-03,29.01869565
2022-04,27.188
2022-05,31.04714286
,
数据来源：Wind,