指标名称,炼油厂开工率:美国
2000-10-31,93.70
2000-11-30,93.00
2000-12-31,93.60
2001-01-31,90.80
2001-02-28,90.60
2001-03-31,89.70
2001-04-30,93.60
2001-05-31,95.80
2001-06-30,96.10
2001-07-31,95.20
2001-08-31,94.00
2001-09-30,92.80
2001-10-31,92.70
2001-11-30,91.30
2001-12-31,90.90
2002-01-31,88.50
2002-02-28,88.20
2002-03-31,86.60
2002-04-30,92.40
2002-05-31,92.90
2002-06-30,94.70
2002-07-31,95.10
2002-08-31,94.60
2002-09-30,92.90
2002-10-31,86.80
2002-11-30,92.00
2002-12-31,91.20
2003-01-31,89.10
2003-02-28,88.20
2003-03-31,91.10
2003-04-30,93.80
2003-05-31,96.00
2003-06-30,95.80
2003-07-31,95.40
2003-08-31,95.70
2003-09-30,94.40
2003-10-31,93.70
2003-11-30,93.20
2003-12-31,93.50
2004-01-31,91.10
2004-02-29,91.00
2004-03-31,89.40
2004-04-30,92.70
2004-05-31,95.00
2004-06-30,96.50
2004-07-31,96.10
2004-08-31,97.90
2004-09-30,92.20
2004-10-31,91.20
2004-11-30,95.20
2004-12-31,96.00
2005-01-31,91.20
2005-02-28,89.50
2005-03-31,90.20
2005-04-30,91.50
2005-05-31,93.20
2005-06-30,96.20
2005-07-31,95.80
2005-08-31,92.90
2005-09-30,82.10
2005-10-31,79.60
2005-11-30,87.60
2005-12-31,88.60
2006-01-31,84.90
2006-02-28,84.90
2006-03-31,84.90
2006-04-30,85.30
2006-05-31,89.40
2006-06-30,92.80
2006-07-31,91.30
2006-08-31,92.30
2006-09-30,91.50
2006-10-31,88.10
2006-11-30,87.60
2006-12-31,89.40
2007-01-31,85.60
2007-02-28,85.60
2007-03-31,86.80
2007-04-30,88.40
2007-05-31,89.60
2007-06-30,88.10
2007-07-31,91.70
2007-08-31,91.30
2007-09-30,89.70
2007-10-31,89.40
2007-11-30,89.00
2007-12-31,91.80
2008-01-31,87.10
2008-02-29,85.60
2008-03-31,85.10
2008-04-30,86.40
2008-05-31,90.00
2008-06-30,90.10
2008-07-31,89.90
2008-08-31,88.00
2008-09-30,74.80
2008-10-31,85.10
2008-11-30,86.80
2008-12-31,85.80
2009-01-31,84.40
2009-02-28,81.00
2009-03-31,83.90
2009-04-30,82.40
2009-05-31,84.40
2009-06-30,86.50
2009-07-31,85.90
2009-08-31,85.10
2009-09-30,85.70
2009-10-31,81.90
2009-11-30,80.10
2009-12-31,80.30
2010-01-31,79.10
2010-02-28,80.50
2010-03-31,83.10
2010-04-30,86.90
2010-05-31,88.00
2010-06-30,90.20
2010-07-31,90.70
2010-08-31,88.90
2010-09-30,87.40
2010-10-31,82.60
2010-11-30,83.60
2010-12-31,87.80
2011-01-31,83.93
2011-02-28,81.55
2011-03-31,83.40
2011-04-30,82.76
2011-05-31,84.30
2011-06-30,87.65
2011-07-31,88.90
2011-08-31,89.65
2011-09-30,88.03
2011-10-31,84.03
2011-11-30,84.38
2011-12-31,85.40
2012-01-31,83.30
2012-02-29,83.96
2012-03-31,83.80
2012-04-30,84.78
2012-05-31,87.98
2012-06-30,91.90
2012-07-31,92.48
2012-08-31,90.74
2012-09-30,87.30
2012-10-31,87.25
2012-11-30,88.18
2012-12-31,90.65
2013-01-31,86.40
2013-02-28,84.00
2013-03-31,84.13
2013-04-30,85.20
2013-05-31,87.18
2013-06-30,89.80
2013-07-31,92.20
2013-08-31,90.84
2013-09-30,91.08
2013-10-31,86.35
2013-11-30,89.18
2013-12-31,92.30
2014-01-31,88.62
2014-02-28,87.33
2014-03-31,86.33
2014-04-30,89.58
2014-05-31,89.17
2014-06-30,88.17
2014-07-31,92.65
2014-08-31,92.05
2014-09-30,90.57
2014-10-31,86.20
2014-11-30,89.10
2014-12-31,92.54
2015-01-31,87.35
2015-02-28,85.87
2015-03-31,86.75
2015-04-30,89.87
2015-05-31,91.11
2015-06-30,92.25
2015-07-31,94.18
2015-08-31,93.55
2015-09-30,90.66
2015-10-31,86.68
2015-11-30,91.24
2015-12-31,92.59
2016-01-31,89.76
2016-02-29,87.68
2016-03-31,89.21
2016-04-30,89.61
2016-05-31,90.71
2016-06-30,91.96
2016-07-31,93.20
2016-08-31,93.11
2016-09-30,90.31
2016-10-31,84.61
2016-11-30,88.30
2016-12-31,90.51
2017-01-31,89.59
2017-02-28,84.36
2017-03-31,86.05
2017-04-30,92.23
2017-05-31,93.01
2017-06-30,92.82
2017-07-31,93.53
2017-08-31,95.24
2017-09-30,85.30
2017-10-31,87.52
2017-11-30,91.86
2017-12-31,95.05
2018-01-31,91.33
2018-02-28,89.02
2018-03-31,89.86
2018-04-30,92.33
2018-05-31,92.63
2018-06-30,96.45
2018-07-31,95.27
2018-08-31,97.21
2018-09-30,93.14
2018-10-31,89.14
2018-11-30,93.77
2018-12-31,95.74
2019-01-31,91.10
2019-02-28,86.71
2019-03-31,87.39
2019-04-30,88.86
2019-05-31,90.88
2019-06-30,93.93
2019-07-31,94.16
2019-08-31,95.25
2019-09-30,89.98
2019-10-31,85.51
2019-11-30,89.54
2019-12-31,92.40
2020-01-31,89.68
2020-02-29,88.11
2020-03-31,84.28
2020-04-30,69.80
2020-05-31,70.31
2020-06-30,74.53
2020-07-31,78.82
2020-08-31,79.34
2020-09-30,75.19
2020-10-31,74.65
2020-11-30,77.56
2020-12-31,79.33
2021-01-31,82.14
2021-02-28,70.80
2021-03-31,79.23
2021-04-30,85.20
2021-05-31,89.00
2021-06-30,92.59
2021-07-31,91.53
2021-08-31,91.71
2021-09-30,86.13
2021-10-31,85.47
2021-11-30,88.33
2021-12-31,91.10
2022-01-31,87.79
2022-02-28,86.74
2022-03-31,91.01
2022-04-30,92.09
2022-05-31,93.16
数据来源：同花顺iFinD,