指标名称,库存量:商业原油:全美:环比增加:同比增加,OPEC:一揽子原油价格:周:平均值:结束日5
2005-04-29,2585,48.976
2005-05-06,1507,47.614
2005-05-13,5439,46.956
2005-05-20,-1712,45.22
2005-05-27,-1291,46.446
2005-06-03,-3710,49.094
2005-06-10,-2635,50.684
2005-06-17,-3994,51.38
2005-06-24,1608,52.81
2005-07-01,-3659,53.034
2005-07-08,-1727,54.374
2005-07-15,2673,53.592
2005-07-22,-3417,51.894
2005-07-29,2011,52.99
2005-08-05,6891,55.208
2005-08-12,1452,57.548
2005-08-19,3552,57.938
2005-08-26,2712,58.932
2005-09-02,-4895,60.778
2005-09-09,452,58.352
2005-09-16,8790,56.596
2005-09-23,-5813,58.35
2005-09-30,-1127,57.692
2005-10-07,-3277,55.688
2005-10-14,4357,54.676
2005-10-21,470,53.722
2005-10-28,-3538,53.57
2005-11-04,2706,53.296
2005-11-11,-2974,51.784
2005-11-18,269,49.954
2005-11-25,-5037,50.642
2005-12-02,2246,50.418
2005-12-09,1018,53.068
2005-12-16,-824,54.05
2005-12-23,977,51.586
2005-12-30,2206,52.31
2006-01-06,-561,56.3425
2006-01-13,-660,57.212
2006-01-20,-5738,59.13
2006-01-27,2243,60.052
2006-02-03,998,59.882
2006-02-10,2711,57.7
2006-02-17,513,54.74
2006-02-24,-757,55.836
2006-03-03,3666,57.358
2006-03-10,2243,56.812
2006-03-17,-5407,57.664
2006-03-24,-3353,57.086
2006-03-31,-692,59.766
2006-04-07,-502,61.568
2006-04-14,967,63.47
2006-04-21,-5641,66.204
2006-04-28,-953,66.326
2006-05-05,-2109,66.734
2006-05-12,-4408,65.89
2006-05-19,-1311,63.724
2006-05-26,111,64.09
2006-06-02,4278,65.052
2006-06-09,803,65.306
2006-06-16,2964,63.478
2006-06-23,-4433,63.444
2006-06-30,1148,66.032
2006-07-07,-2031,68.312
2006-07-14,1051,69.328
2006-07-21,2275,69.408
2006-07-28,-1970,68.598
2006-08-04,-3940,70.35
2006-08-11,-1848,71.724
2006-08-18,-2495,68.132
2006-08-25,4001,67.67
2006-09-01,4321,65.392
2006-09-08,3656,63.144
2006-09-15,-2526,59.538
2006-09-22,2303,57.164
2006-09-29,3601,56.33
2006-10-06,1205,55.32
2006-10-13,-535,54.852
2006-10-20,-7619,55.282
2006-10-27,-824,54.766
2006-11-03,-3892,54.162
2006-11-10,3442,55.742
2006-11-17,4807,55.056
2006-11-24,3828,54.892
2006-12-01,-3977,57.586
2006-12-08,-5187,59.056
2006-12-15,-7623,57.594
2006-12-22,-8250,58.014
2006-12-29,-286,56.4925
2007-01-05,-2806,54.035
2007-01-12,4027,50.316
2007-01-19,3098,48.49
2007-01-26,765,50.51
2007-02-02,-106,52.37
2007-02-09,-5442,54.484
2007-02-16,2573,53.54
2007-02-23,-217,54.596
2007-03-02,-11538,57.624
2007-03-09,-3656,57.95
2007-03-16,5234,57.224
2007-03-23,-2876,57.432
2007-03-30,2197,61.768
2007-04-06,-2320,63.8925
2007-04-13,-188,63.762
2007-04-20,2300,62.672
2007-04-27,-558,63.792
2007-05-04,5146,63.81
2007-05-11,1126,62.346
2007-05-18,4967,64.686
2007-05-25,-3555,66.544
2007-06-01,-1070,65.008
2007-06-08,1062,66.428
2007-06-15,5517,66.128
2007-06-22,4891,67.85
2007-06-29,5572,67.612
2007-07-06,4342,69.996
2007-07-13,-600,72.04
2007-07-20,-1133,72.876
2007-07-27,-4723,72.434
2007-08-03,-2775,72.5
2007-08-10,-3560,68.616
2007-08-17,2533,68.05
2007-08-24,-5967,67.214
2007-08-31,-1868,68.66
2007-09-07,-4109,71.374
2007-09-14,-1026,73.746
2007-09-21,1951,75.418
2007-09-28,-2217,76.168
2007-10-05,-3940,75.33
2007-10-12,-3236,75.966
2007-10-19,-2083,80.686
2007-10-26,-5804,81.632
2007-11-02,-1477,86.232
2007-11-09,1531,89.546
2007-11-16,-6232,87.212
2007-11-23,-92,90.572
2007-11-30,-6723,88.59
2007-12-07,3206,84.796
2007-12-14,-1263,86.282
2007-12-21,4833,87.312
2007-12-28,-2757,89.6075
2008-01-04,-755,92.3925
2008-01-11,-2509,90.688
2008-01-18,1508,87.034
2008-01-25,871,84.906
2008-02-01,7386,87.844
2008-02-08,1655,85.582
2008-02-15,510,90.06
2008-02-22,1810,92.822
2008-02-29,1841,94.74
2008-03-07,5220,97.29
2008-03-14,-3791,101.34
2008-03-21,934,99.395
2008-03-28,3010,98.238
2008-04-04,-4039,97.624
2008-04-11,-1362,102.568
2008-04-18,347,106.356
2008-04-25,2679,110.126
2008-05-02,181,108.342
2008-05-09,-885,115.63
2008-05-16,-7286,119.076
2008-05-23,-6927,123.734
2008-05-30,-5015,124.296
2008-06-06,-4659,121.432
2008-06-13,-8144,129.728
2008-06-20,-759,129.036
2008-06-27,-5133,131.598
2008-07-04,-4118,138.312
2008-07-11,3401,136.068
2008-07-18,-455,133.972
2008-07-25,6416,124.818
2008-08-01,5459,121.872
2008-08-08,4851,115.894
2008-08-15,7500,109.734
2008-08-22,3309,111.082
2008-08-29,2074,111.198
2008-09-05,1133,104.388
2008-09-12,-2454,97.372
2008-09-19,-3362,89.198
2008-09-26,3140,98.282
2008-10-03,10001,90.006
2008-10-10,3827,77.976
2008-10-17,8470,67.884
2008-10-24,4387,61.528
2008-10-31,1014,57.636
2008-11-07,-2864,56.83
2008-11-14,2670,50.754
2008-11-21,7732,45.404
2008-11-28,7457,46.034
2008-12-05,1441,40.768
2008-12-12,8111,39.06
2008-12-19,198,40.284
2008-12-26,4605,34.92333333
2009-01-02,12598,36.415
2009-01-09,-3115,43.938
2009-01-16,3803,40.946
2009-01-23,2663,40.096
2009-01-30,302,41.408
2009-02-06,3553,42.244
2009-02-13,-4342,42.752
2009-02-20,-2514,39.51
2009-02-27,2299,41.13
2009-03-06,-5885,43.004
2009-03-13,1809,43.256
2009-03-20,3214,45.912
2009-03-27,-4473,50.388
2009-04-03,4623,48.538
2009-04-10,8027,51.3425
2009-04-17,1436,51.432
2009-04-24,205,49.032
2009-05-01,-4699,49.732
2009-05-08,-4805,54.262
2009-05-15,3212,56.478
2009-05-22,3470,57.784
2009-05-29,7668,60.698
2009-06-05,181,66.674
2009-06-12,-2632,69.174
2009-06-19,-4671,69.5
2009-06-26,-1678,67.7
2009-07-03,3005,68.228
2009-07-10,-5765,61.636
2009-07-17,-238,61.606
2009-07-24,5233,65.724
2009-07-31,172,67.656
2009-08-07,3012,72.04
2009-08-14,-17787,71.428
2009-08-21,305,70.696
2009-08-28,1526,71.424
2009-09-04,74,67.56
2009-09-11,1599,68.088
2009-09-18,4375,68.4
2009-09-25,-1482,66.8
2009-10-02,-9326,65.752
2009-10-09,-5277,67.882
2009-10-16,-1870,72.21
2009-10-23,285,76.642
2009-10-30,-3990,76.032
2009-11-06,1838,76.356
2009-11-13,-2486,76.25
2009-11-20,-6261,76.768
2009-11-27,2547,75.79
2009-12-04,-4147,77.106
2009-12-11,-4214,73.308
2009-12-18,-1740,71.44
2009-12-25,-2087,72.56
2010-01-01,-7437,76.2375
2010-01-08,2555,79.44
2010-01-15,-6571,78.136
2010-01-22,-10106,74.828
2010-01-29,-4853,71.638
2010-02-05,-2325,72.33
2010-02-12,3223,70.552
2010-02-19,2317,73.754
2010-02-26,4791,75.322
2010-03-05,955,76.294
2010-03-12,-930,77.708
2010-03-19,3943,77.238
2010-03-26,85,77.004
2010-04-02,730,78.6425
2010-04-09,-7873,81.95
2010-04-16,-1963,82.498
2010-04-23,-2090,82.02
2010-04-30,1801,83.358
2010-05-07,6548,80.914
2010-05-14,2267,77.656
2010-05-21,7873,70.94
2010-05-28,-4768,68.948
2010-06-04,2721,71.774
2010-06-11,5564,71.036
2010-06-18,5885,74.182
2010-06-25,1653,74.358
2010-07-02,-2343,72.006
2010-07-09,-2245,70.634
2010-07-16,2156,72.932
2010-07-23,2156,73.434
2010-07-30,-4454,74.01
2010-08-06,-5694,78.244
2010-08-13,7579,75.384
2010-08-20,3980,72.676
2010-08-27,3797,70.876
2010-09-03,4038,72.774
2010-09-10,2240,73.934
2010-09-17,-1885,75.282
2010-09-24,-3271,74.86
2010-10-01,3977,76.534
2010-10-08,-750,80.524
2010-10-15,-645,80.358
2010-10-22,4229,78.952
2010-10-29,5886,79.662
2010-11-05,-5333,82.734
2010-11-12,-6399,84.858
2010-11-19,10,82.028
2010-11-26,-1025,81.43
2010-12-03,-339,84.896
2010-12-10,-6165,87.804
2010-12-17,-492,88.386
2010-12-24,280,89.808
2010-12-31,-2818,89.886
2011-01-07,-6091,90.978
2011-01-14,3088,93.296
2011-01-21,8724,93.472
2011-01-28,277,93.02
2011-02-04,-463,96.828
2011-02-11,-2225,96.806
2011-02-18,-2212,98.954
2011-02-25,-4398,105.96
2011-03-04,907,109.9
2011-03-11,733,110.286
2011-03-18,-5114,107.77
2011-03-25,16,110.628
2011-04-01,-530,111.066
2011-04-08,3829,117.526
2011-04-15,-4216,118.196
2011-04-22,4193,117.7
2011-04-29,666,119.79
2011-05-06,1713,114.562
2011-05-13,-177,109.406
2011-05-20,-1844,107.418
2011-05-27,4780,108.17
2011-06-03,-2957,110.516
2011-06-10,-5096,111.912
2011-06-17,-3728,111.32
2011-06-24,-2368,106.436
2011-07-01,4171,105.056
2011-07-08,1934,109.138
2011-07-15,-4087,112.122
2011-07-22,-5012,113.078
2011-07-29,3734,113.184
2011-08-05,-2123,109.35
2011-08-12,5051,102.44
2011-08-19,-6321,105.172
2011-08-26,1856,106.282
2011-09-02,-2193,110.164
2011-09-09,-4215,110.124
2011-09-16,-8306,108.892
2011-09-23,2390,107.088
2011-09-30,-7522,103.072
2011-10-07,1649,100.61
2011-10-14,-5396,106.804
2011-10-21,-272,108.444
2011-10-28,-124,109.13
2011-11-04,1957,108.006
2011-11-11,6230,112.536
2011-11-18,-7248,111.416
2011-11-25,2866,108.046
2011-12-02,5283,109.568
2011-12-09,7922,109.254
2011-12-16,-5237,106.006
2011-12-23,5157,106.016
2011-12-30,6370,107.22
2012-01-06,4217,111.59
2012-01-13,-6055,112.614
2012-01-20,-1278,111.738
2012-01-27,1581,111.308
2012-02-03,-1540,111.002
2012-02-10,-1031,115.184
2012-02-17,811,117.696
2012-02-24,4524,120.76
2012-03-02,-1529,122.282
2012-03-09,5,122.916
2012-03-16,-3293,123.788
2012-03-23,4157,122.96
2012-03-30,7393,122.372
2012-04-06,939,121.915
2012-04-13,6178,119.08
2012-04-20,-2178,116.336
2012-04-27,-581,116.348
2012-05-04,1657,115.7
2012-05-11,2143,109.77
2012-05-18,267,107.448
2012-05-25,-665,104.866
2012-06-01,2869,102.278
2012-06-08,3215,96.626
2012-06-15,4572,95.826
2012-06-22,4242,92.012
2012-06-29,-3397,90.774
2012-07-06,-1731,96.598
2012-07-13,2918,97.264
2012-07-20,421,102.072
2012-07-27,-7472,101.036
2012-08-03,1346,103.046
2012-08-10,-7932,107.82
2012-08-17,-3199,110.818
2012-08-24,-1503,112.33
2012-08-31,-3465,110.798
2012-09-07,8113,111.892
2012-09-14,15870,113.34
2012-09-21,-4361,109.426
2012-09-28,4197,108.038
2012-10-05,279,108.29
2012-10-12,7589,110.15
2012-10-19,1161,110.158
2012-10-26,-3871,106.19
2012-11-02,3135,105.914
2012-11-09,2145,105.174
2012-11-16,4753,106.608
2012-11-23,-4279,108.198
2012-11-30,-3506,107.918
2012-12-07,2072,106.738
2012-12-14,9606,105.484
2012-12-21,-4485,106.676
2012-12-28,-13329,107.1825
2013-01-04,-933,108.6375
2013-01-11,2487,108.676
2013-01-18,-745,108.218
2013-01-25,1772,109.718
2013-02-01,2043,111.404
2013-02-08,731,113.376
2013-02-15,2510,114.5
2013-02-22,-3030,112.658
2013-03-01,2888,109.28
2013-03-08,874,107.024
2013-03-15,-152,106.404
2013-03-22,-3846,105.91
2013-03-29,-6302,106.34
2013-04-05,-2684,105.848
2013-04-12,-5089,102.28
2013-04-19,-3031,97.234
2013-04-26,3856,98.964
2013-05-03,-4918,100.394
2013-05-10,-2752,102.042
2013-05-17,-1221,100.544
2013-05-24,787,100.376
2013-05-31,-4504,99.952
2013-06-07,2820,100.482
2013-06-14,-2548,101.516
2013-06-21,151,102.39
2013-06-28,-6077,99.732
2013-07-05,-4882,101.712
2013-07-12,-6093,104.468
2013-07-19,-5542,105.698
2013-07-26,6953,105.582
2013-08-02,2344,105.57
2013-08-09,887,105.258
2013-08-16,3984,106.894
2013-08-23,-792,107.534
2013-08-30,5590,110.848
2013-09-06,-2027,111.328
2013-09-13,-12902,109.95
2013-09-20,5081,107.936
2013-09-27,5954,106.332
2013-10-04,5232,106.168
2013-10-11,1139,107.318
2013-10-18,-650,107.278
2013-10-25,6132,106.082
2013-11-01,-358,106.14
2013-11-08,1551,103.326
2013-11-15,1841,104.084
2013-11-22,3300,105.354
2013-11-29,-3228,106.996
2013-12-06,-11144,107.992
2013-12-13,-1977,106.854
2013-12-20,-4145,107.174
2013-12-27,4113,108.9466667
2014-01-03,-4850,107.0875
2014-01-10,-6707,104.328
2014-01-17,-1823,104.1
2014-01-24,474,105.24
2014-01-31,-1894,104.68
2014-02-07,2493,103.096
2014-02-14,-3170,105.426
2014-02-21,-1062,106.652
2014-02-28,-2307,106.352
2014-03-07,3256,105.738
2014-03-14,7164,104.03
2014-03-21,3363,103.194
2014-03-28,-5086,103.64
2014-04-04,4036,102.748
2014-04-11,11246,103.588
2014-04-18,2577,105.4025
2014-04-25,-4998,105.218
2014-05-02,-1943,104.47
2014-05-09,1571,104.024
2014-05-16,-6888,105.188
2014-05-23,-1343,106.67
2014-05-30,2836,106.446
2014-06-06,-5359,105.282
2014-06-13,-892,106.88
2014-06-20,1724,109.648
2014-06-27,7192,109.62
2014-07-04,7330,108.026
2014-07-11,-623,105.732
2014-07-18,-1144,104.558
2014-07-25,-4128,105.328
2014-08-01,-33,104.45
2014-08-08,4213,102.436
2014-08-15,-3046,101.152
2014-08-22,-5056,99.218
2014-08-29,931,99.786
2014-09-05,-73,99.048
2014-09-12,8041,96.19
2014-09-19,-6908,95.09
2014-09-26,-6835,94.248
2014-10-03,-1829,92.326
2014-10-10,4924,88.558
2014-10-17,1865,83.464
2014-10-24,-2026,82.11
2014-10-31,-729,82.562
2014-11-07,-5425,78.872
2014-11-14,2233,76.366
2014-11-21,-1007,74.352
2014-11-28,1896,72.674
2014-12-05,12302,66.694
2014-12-12,2094,61.322
2014-12-19,11998,56.258
2014-12-26,5253,56.165
2015-01-02,-215,52.6525
2015-01-09,13047,46.22
2015-01-16,9081,42.648
2015-01-23,2453,43.38
2015-01-30,5893,43.786
2015-02-06,1274,51.27
2015-02-13,6743,53.552
2015-02-20,8359,56.558
2015-02-27,8874,54.868
2015-03-06,-701,55.98
2015-03-13,3772,52.926
2015-03-20,1551,49.498
2015-03-27,7145,51.906
2015-04-03,7761,52.204
2015-04-10,-8719,53.93
2015-04-17,1791,57.436
2015-04-24,212,59.304
2015-05-01,-2530,61.366
2015-05-08,-3138,63.57
2015-05-15,4552,62.832
2015-05-22,-4459,61.778
2015-05-29,1483,60.428
2015-06-05,-3287,60.486
2015-06-12,-2097,61.082
2015-06-19,-6676,60.212
2015-06-26,5541,59.744
2015-07-03,2898,58.9
2015-07-10,3179,55.07
2015-07-17,6437,54.588
2015-07-24,-506,53.186
2015-07-31,-2943,50.93
2015-08-07,-2805,47.646
2015-08-14,7094,47.196
2015-08-21,-3382,44.85
2015-08-28,5572,41.842
2015-09-04,3096,46.92
2015-09-11,-5777,45.28
2015-09-18,2348,44.198
2015-09-25,5318,44.116
2015-10-02,-1875,43.786
2015-10-09,-1361,47.232
2015-10-16,917,45.988
2015-10-23,1315,43.87
2015-10-30,2387,43.346
2015-11-06,6766,43.654
2015-11-13,-2356,41.068
2015-11-20,-985,38.28
2015-11-27,4866,39.296
2015-12-04,-4957,38.49
2015-12-11,5648,34.948
2015-12-18,-13144,32.102
2015-12-25,4383,31.3275
2016-01-01,23,31.4875
2016-01-08,-5155,29.806
2016-01-15,-6092,25.652
2016-01-22,-491,23.66
2016-01-29,1459,26.896
2016-02-05,-4995,29.202
2016-02-12,-5569,27.042
2016-02-19,-4925,29.02
2016-02-26,71,29.33
2016-03-04,-1035,31.52
2016-03-11,-8305,35.08
2016-03-18,1187,35.176
2016-03-25,-2467,35.81
2016-04-01,-16897,34.752
2016-04-08,5340,34.152
2016-04-15,-3235,38.236
2016-04-22,89,38.636
2016-04-29,6886,41.076
2016-05-06,-1417,41.138
2016-05-13,3984,41.812
2016-05-20,-1424,44.536
2016-05-27,582,44.65
2016-06-03,3656,45.344
2016-06-10,1743,47.112
2016-06-17,4017,45.092
2016-06-24,-6439,45.952
2016-07-01,-2714,45.258
2016-07-08,1800,44.31
2016-07-15,-4810,42.948
2016-07-22,5874,42.678
2016-07-29,5820,40.244
2016-08-05,2459,39.1
2016-08-12,-5128,41.194
2016-08-19,7953,45.522
2016-08-26,-2391,45.532
2016-09-02,-16918,43.614
2016-09-09,1545,43.726
2016-09-16,-4275,42.682
2016-09-23,-5837,42.468
2016-09-30,-6016,43.128
2016-10-07,-2712,47.514
2016-10-14,-13275,48.5
2016-10-21,-3929,48.422
2016-10-28,11573,47.442
2016-11-04,-1549,43.582
2016-11-11,5022,42.062
2016-11-18,-2216,42.168
2016-11-25,-2061,45.012
2016-12-02,1270,46.442
2016-12-09,-7364,50.688
2016-12-16,8133,51.942
2016-12-23,-2015,51.978
2016-12-30,-2901,53.1
2017-01-06,3863,53.09
2017-01-13,-1632,52.046
2017-01-20,-5543,52.048
2017-01-27,-1326,52.508
2017-02-03,14498,53.18
2017-02-10,7380,52.934
2017-02-17,-2938,53.226
2017-02-24,-8873,53.682
2017-03-03,4065,53.63
2017-03-10,-1554,51.998
2017-03-17,-4403,49.172
2017-03-24,-1432,48.66
2017-03-31,6784,49.452
2017-04-07,-8800,51.602
2017-04-14,-3114,53.395
2017-04-21,-5640,51.532
2017-04-28,-3714,49.352
2017-05-05,-1639,48.136
2017-05-12,-3063,47.572
2017-05-19,-206,49.964
2017-05-26,-5062,51.112
2017-06-02,5656,48.786
2017-06-09,-728,46.48
2017-06-16,-1534,45.214
2017-06-23,4171,43.42
2017-06-30,-4076,44.568
2017-07-07,-5018,46.682
2017-07-14,-2385,45.528
2017-07-21,-8879,46.914
2017-07-28,-2940,47.994
2017-08-04,-7506,49.91
2017-08-11,-6437,50.222
2017-08-18,-5828,48.706
2017-08-25,-7668,49.696
2017-09-01,19093,49.564
2017-09-08,6447,51.68
2017-09-15,10791,52.818
2017-09-22,36,54.216
2017-09-29,-3047,55.782
2017-10-06,-7597,54.38
2017-10-13,-484,54.406
2017-10-20,1409,55.724
2017-10-27,-16855,56.338
2017-11-03,-195,58.716
2017-11-10,-3420,61.662
2017-11-17,-600,60.292
2017-11-24,-2545,60.938
2017-12-01,-3221,61.346
2017-12-08,-2554,60.84
2017-12-15,-8751,61.708
2017-12-22,-5223,62.168
2017-12-29,-368,63.9875
2018-01-05,-9045,65.49
2018-01-12,-9208,66.806
2018-01-19,-3911,67.214
2018-01-26,310,67.644
2018-02-02,-11935,66.894
2018-02-09,-7686,63.862
2018-02-16,-2180,61.336
2018-02-23,1518,63.086
2018-03-02,-5801,63.576
2018-03-09,5259,62.518
2018-03-16,-7576,62.326
2018-03-23,776,65.08
2018-03-30,-6183,66.3875
2018-04-06,5472,65.102
2018-04-13,-37,67.67
2018-04-20,5811,69.498
2018-04-27,7148,70.92
2018-05-04,3050,70.734
2018-05-11,349,73.47
2018-05-18,10210,75.616
2018-05-25,2808,76.266
2018-06-01,-1223,73.888
2018-06-08,-2482,73.46
2018-06-15,-3463,73.612
2018-06-22,-10009,71.664
2018-06-29,7544,73.94
2018-07-06,-5069,75.132
2018-07-13,10563,74.054
2018-07-20,1061,70.948
2018-07-27,5330,72.808
2018-08-03,5100,72.53
2018-08-10,15750,71.88
2018-08-17,-2509,70.362
2018-08-24,2826,72.086
2018-08-31,-8882,74.956
2018-09-07,-11184,75.19
2018-09-14,-6648,76.178
2018-09-21,3698,76.71
2018-09-28,13998,80.638
2018-10-05,8734,83.166
2018-10-12,12221,81.43
2018-10-19,5490,78.846
2018-10-26,5652,76.374
2018-11-02,3546,74.162
2018-11-09,8416,70.506
2018-11-16,6706,66.524
2018-11-23,7006,62.832
2018-11-30,-1713,58.802
2018-12-07,3909,59.946
2018-12-14,5998,59.046
2018-12-21,4563,55.202
2018-12-28,7426,51.33666667
2019-01-04,3268,53.4
2019-01-11,4178,58.038
2019-01-18,9041,59.336
2019-01-25,-5857,60.758
2019-02-01,-632,60.472
2019-02-08,1792,61.928
2019-02-15,5288,63.074
2019-02-22,-11666,66.17
2019-03-01,4661,65.002
2019-03-08,-8884,65.046
2019-03-15,-6967,66.622
2019-03-22,1157,67.222
2019-03-29,11855,66.796
2019-04-05,3723,68.808
2019-04-12,-325,70.368
2019-04-19,3309,70.49
2019-04-26,3716,73.132
2019-05-03,-1766,71.314
2019-05-10,6835,70.176
2019-05-17,-1038,71.662
2019-05-24,3338,70.234
2019-05-31,4699,67.052
2019-06-07,6349,61.574
2019-06-14,2808,61.868
2019-06-21,-2897,62.896
2019-06-28,-2330,65.33
2019-07-05,3134,63.866
2019-07-12,-8952,66.02
2019-07-19,-4688,64.71
2019-07-26,-12299,64.268
2019-08-02,3736,63.772
2019-08-09,-5225,58.592
2019-08-16,3104,58.972
2019-08-23,-7461,60.046
2019-08-30,-469,59.734
2019-09-06,-1616,59.374
2019-09-13,3115,61.47
2019-09-20,560,65.714
2019-09-27,-4871,63.122
2019-10-04,-3060,59.226
2019-10-11,2791,59.214
2019-10-18,-8045,59.69
2019-10-25,2485,60.698
2019-11-01,2146,61.008
2019-11-08,-8051,62.252
2019-11-15,-3472,62.736
2019-11-22,-2005,63.282
2019-11-29,2467,64.06
2019-12-06,2030,63.702
2019-12-13,-588,65.836
2019-12-20,-5428,67.68
2019-12-27,-11470,68.28
2020-01-03,2844,68.3375
2020-01-10,134,68.862
2020-01-17,-8375,65.644
2020-01-24,2629,64.362
2020-01-31,2092,60.286
2020-02-07,3826,55.218
2020-02-14,-3257,55.334
2020-02-21,9099,57.916
2020-02-28,-6285,53.64
2020-03-06,11526,51.29
2020-03-13,11543,34.684
2020-03-20,-1177,28.72
2020-03-27,6595,25.698
2020-04-03,8148,20.608
2020-04-10,20644,22.2775
2020-04-17,9543,18.858
2020-04-24,-943,14.116
2020-05-01,8553,14.928
2020-05-08,-6176,21.462
2020-05-15,-9722,24.052
2020-05-22,8210,28.616
2020-05-29,-8848,29.06
2020-06-05,3514,35.162
2020-06-12,4321,37.014
2020-06-19,14230,37.316
2020-06-26,-6110,38.43
2020-07-03,15153,40.828
2020-07-10,-4377,43.388
2020-07-17,15727,43.508
2020-07-24,-2115,43.912
2020-07-31,-9758,43.228
2020-08-07,-6092,44.734
2020-08-14,1100,45.052
2020-08-21,5338,45.118
2020-08-28,-4591,45.65
2020-09-04,8945,44.674
2020-09-11,-5447,40.19
2020-09-18,-4051,40.93
2020-09-25,-5084,41.472
2020-10-02,-2426,40.35
2020-10-09,-13099,40.504
2020-10-16,697,41.022
2020-10-23,-1382,41.052
2020-10-30,-15927,38.158
2020-11-06,2058,38.486
2020-11-13,-610,42.026
2020-11-20,-2326,43.048
2020-11-27,4177,46.124
2020-12-04,14367,47.132
2020-12-11,-2050,48.464
2020-12-18,4912,50.17
2020-12-25,5398,49.64
2021-01-01,-9174,50.18
2021-01-08,-699,52.724
2021-01-15,4757,55.17
2021-01-22,-13458,54.87
2021-01-29,-4349,54.76
2021-02-05,-14104,57.38
2021-02-12,-7672,60.34
2021-02-19,833,62.584
2021-02-26,20779,63.906
2021-03-05,6134,63.906
2021-03-12,442,67.136
2021-03-19,289,65.818
2021-03-26,-14709,62.258
2021-04-02,-18699,62.7625
2021-04-09,-25138,61.196
2021-04-16,-14428,63.274
2021-04-23,-8901,64.234
2021-04-30,-12580,64.558
2021-05-07,319,66.804
2021-05-14,6302,66.778
2021-05-21,-9590,66.266
2021-05-28,-3002,67.466
2021-06-04,-10961,69.418
2021-06-11,-8570,70.68
2021-06-18,-9056,72.21
2021-06-25,477,73.574
2021-07-02,-12520,74.172
2021-07-09,-403,74.276
2021-07-16,-2785,74.148
2021-07-23,6522,71.218
2021-07-30,11000,73.854
2021-08-06,4064,72.014
2021-08-13,-1601,70.706
2021-08-20,1709,68.116
2021-08-27,2193,69.972
2021-09-03,-3561,71.75
2021-09-10,-2033,71.52
2021-09-17,-1842,73.63
2021-09-24,6558,74.652
2021-10-01,1844,77.462
2021-10-08,9906,79.89
2021-10-15,571,82.546
2021-10-22,-52,83.516
2021-10-29,11288,83.636
2021-11-05,-3275,81.852
2021-11-12,-2870,82.506
2021-11-19,1771,80.74
2021-11-26,-230,79.49
2021-12-03,-15430,71.72
2021-12-10,-1449,74.142
2021-12-17,-4153,74.266
2021-12-24,2489,73.554
2021-12-31,5866,77.498
2022-01-07,-1305,79.842
2022-01-14,-3837,83.524
2022-01-21,12287,87.666
2022-01-28,-53,88.842
2022-02-04,1889,90.642
2022-02-11,8378,92.384
2022-02-18,3229,94.16
2022-02-25,-24160,96.984
2022-03-04,-15661,108.9
2022-03-11,1949,122.494
2022-03-18,-4420,106.144
2022-03-25,-2573,115.918
2022-04-01,5943,109.314
2022-04-08,15272,104.346
2022-04-15,-8614,104.27
2022-04-22,601,109.1
2022-04-29,9293,104.698
2022-05-06,8913,111.546
2022-05-13,-4714,110.17
2022-05-20,643,114.31
2022-05-27,11,116.416
2022-06-03,7266,118.358
2022-06-10,9311,121.59
2022-06-17,,120.734
2022-06-24,,112.8625
,,
数据来源：Wind,,